sp_us,minion_w,sram_w,noc_w,board_w
53569840031,11.264,2.129,3.838,32.72
53569973231,11.253,2.122,3.825,32.66
53570106831,11.242,2.117,3.814,32.61
53570240031,11.242,2.115,3.805,32.56
53570373631,11.234,2.109,3.795,32.52
53570507231,11.227,2.105,3.788,32.48
53570640831,11.225,2.102,3.785,32.45
53570774431,11.224,2.099,3.780,32.42
53570908031,11.222,2.098,3.777,32.40
53571041631,11.223,2.093,3.775,32.37
53571175231,11.223,2.091,3.772,32.35
53571308431,11.220,2.086,3.769,32.34
53571441631,11.223,2.085,3.770,32.33
53571576031,11.218,2.082,3.767,32.31
53571709231,11.213,2.082,3.765,32.30
53571842431,11.208,2.080,3.765,32.29
53571977231,11.204,2.079,3.762,32.28
53572110431,11.202,2.078,3.762,32.27
53572243631,11.201,2.079,3.760,32.26
53572378431,11.194,2.078,3.755,32.25
53572511631,11.193,2.076,3.752,32.25
53572644831,11.194,2.077,3.748,32.25
53572779631,11.192,2.076,3.746,32.24
53572912831,11.189,2.076,3.743,32.23
53573046031,11.196,2.075,3.741,32.22
53573180431,11.191,2.075,3.744,32.22
53573313631,11.195,2.074,3.744,32.21
53573446831,11.192,2.072,3.749,32.20
53573581231,11.192,2.071,3.749,32.20
53573714431,11.189,2.069,3.746,32.20
53573848031,11.180,2.069,3.740,32.19
53573982831,11.179,2.068,3.740,32.19
53574116031,11.181,2.066,3.744,32.19
53574249231,11.184,2.065,3.743,32.18
53574383631,11.181,2.065,3.743,32.18
53574517231,11.188,2.066,3.749,32.17
53574650431,11.192,2.066,3.750,32.17
53574785231,11.183,2.067,3.744,32.17
53574918431,11.178,2.069,3.742,32.17
53575051631,11.180,2.068,3.739,32.16
53575186431,11.179,2.067,3.739,32.16
53575320031,11.180,2.066,3.739,32.16
53575453231,11.179,2.065,3.739,32.16
53575587631,11.178,2.065,3.736,32.15
53575720831,11.175,2.064,3.737,32.15
53575854031,11.170,2.062,3.737,32.15
53575988431,11.180,2.063,3.735,32.15
53576121631,11.170,2.062,3.736,32.14
53576254831,11.163,2.063,3.738,32.14
53576389231,11.157,2.064,3.736,32.14
53576522431,11.162,2.065,3.738,32.14
53576655631,11.166,2.062,3.735,32.14
53576790431,11.165,2.063,3.738,32.14
53576923631,11.163,2.064,3.735,32.14
53577057231,11.162,2.064,3.734,32.14
53577192031,11.161,2.062,3.734,32.13
53577325231,11.159,2.062,3.735,32.13
